"class","zipped_size","unzipped_size","label"
"full_bzip2_zip64",1111414364,8.61640063725293e+21,""
"full_bzip2_zip64",1667206092,1.93682412921602e+22,""
"quoted_deflate",250,139321,""
"quoted_deflate",375,365361,""
"quoted_deflate",562,870072,""
"quoted_deflate",843,2043675,""
"quoted_deflate",1265,4710706,""
"quoted_deflate",1898,10820172,""
"quoted_deflate",2847,24636009,""
"quoted_deflate",4271,55847493,""
"quoted_deflate",6407,126179776,""
"quoted_deflate",9610,282699819,""
"quoted_deflate",14416,634417015,""
"quoted_deflate",21624,1424790145,""
"quoted_deflate",32436,3201876193,""
"quoted_deflate",48654,7198290184,""
"quoted_deflate",72982,16187766040,""
"quoted_deflate",109473,36409199470,""
"quoted_deflate",164210,81901267056,""
"quoted_deflate",246315,183925972224,""
"quoted_deflate",369472,410843118750,""
"quoted_deflate",554209,919929486957,""
"quoted_deflate",831314,2063150540331,""
"quoted_deflate",1246971,4632061764580,""
"quoted_deflate",1870456,10407106022268,""
"quoted_deflate",2805685,23393477110164,""
"quoted_deflate",4208528,52601556810876,""
"quoted_deflate",6312792,118302847035036,""
"quoted_deflate",8319376,205420623049463,""
"quoted_deflate_zip64",250,27865,""
"quoted_deflate_zip64",375,156865,""
"quoted_deflate_zip64",562,462389,""
"quoted_deflate_zip64",843,1207596,""
"quoted_deflate_zip64",1265,3003635,""
"quoted_deflate_zip64",1898,7184156,""
"quoted_deflate_zip64",2847,16833234,""
"quoted_deflate_zip64",4271,38887389,""
"quoted_deflate_zip64",6407,89015544,""
"quoted_deflate_zip64",9610,202166475,""
"quoted_deflate_zip64",14416,456055927,""
"quoted_deflate_zip64",21624,1027890990,""
"quoted_deflate_zip64",32436,2315320728,""
"quoted_deflate_zip64",48654,5213396026,""
"quoted_deflate_zip64",72982,11736263442,""
"quoted_deflate_zip64",109473,26415292950,""
"quoted_deflate_zip64",164210,59447821284,""
"quoted_deflate_zip64",246315,133777172367,""
"quoted_deflate_zip64",369472,300250997818,""
"quoted_deflate_zip64",554209,672391206414,""
"quoted_deflate_zip64",831314,1508126871229,""
"quoted_deflate_zip64",1246971,3386161536958,""
"quoted_deflate_zip64",1870456,7608182372028,""
"quoted_deflate_zip64",2805685,17102415720879,""
"quoted_deflate_zip64",4208528,38456443098115,""
"quoted_deflate_zip64",6312792,86491003676967,""
"quoted_deflate_zip64",9469188,194550777115609,""
"quoted_deflate_zip64",14203782,436258689626390,""
"quoted_deflate_zip64",21305673,977077160757987,""
"quoted_deflate_zip64",31958509,2191678446577966,""
"quoted_deflate_zip64",47937764,4921171201755846,""
"quoted_deflate_zip64",71906647,11057489642306084,""
"quoted_deflate_zip64",107859970,24856644901040880,""
"quoted_deflate_zip64",161789956,55893404111733184,""
"quoted_deflate_zip64",242684934,125709100081488160,""
"quoted_deflate_zip64",364027401,282768898668040928,""
